index,character,count
0,1,44703
1,7,41893
2,3,41112
3,0,40362
4,2,40072
5,6,39937
6,8,39579
7,9,39532
8,4,39154
9,5,36606
10,O,29761
11,e,28655
12,S,24888
13,t,21165
14,r,16355
15,U,15452
16,I,14760
17,l,14044
18,n,13266
19,C,12707
20,d,11818
21,a,11629
22,T,11458
23,M,11336
24,F,10628
25,P,10558
26,h,10153
27,L,9695
28,N,9637
29,A,7517
30,W,6689
31,V,6672
32,Y,6577
33,b,5976
34,R,5949
35,E,5853
36,J,5386
37,D,5382
38,X,4741
39,Z,4632
40,B,4562
41,K,4345
42,g,4251
43,H,3737
44,q,3476
45,Q,3040
46,G,2989
47,f,2954
48,o,2593
49,s,2520
50,u,2464
51,c,2411
52,i,2386
53,m,2260
54,v,2139
55,p,2002
56,w,1975
57,x,1754
58,y,1710
59,z,1708
60,k,1462
61,j,1214
